id	uid	vid	flow	capacity
0	1	2	3100.0	51800.4
1	1	3	6700.0	46806.9
2	2	1	3100.0	51800.4
3	2	6	5900.0	9916.4
4	3	1	6700.0	46806.9
5	3	4	12199.8	34221.0
6	3	12	7100.2	46806.9
7	4	3	12199.8	34221.0
8	4	5	17899.8	35565.6
9	4	11	5500.0	9817.7
10	5	4	17899.8	35565.6
11	5	6	9896.0	9896.0
12	5	9	17302.7	20000.0
13	6	2	5900.0	9916.4
14	6	5	9896.0	9896.0
15	6	8	9797.2	9797.2
16	7	8	12463.6	15683.6
17	7	18	11481.0	46806.9
18	8	6	9797.2	9797.2
19	8	7	12381.0	15683.6
20	8	9	7880.8	10100.4
21	8	16	5990.8	10091.6
22	9	5	17302.7	20000.0
23	9	8	7680.8	10100.4
24	9	10	27828.0	27831.6
25	10	9	27728.0	27831.6
26	10	11	19215.4	20000.0
27	10	15	26883.4	27024.0
28	10	16	9709.8	9709.8
29	10	17	8699.4	9987.0
30	11	4	5600.0	9817.7
31	11	10	19015.4	20000.0
32	11	12	9817.7	9817.7
33	11	14	9753.0	9753.0
34	12	3	7100.2	46806.9
35	12	11	9817.7	9817.7
36	12	13	11213.5	51800.4
37	13	12	11313.5	51800.4
38	13	24	10182.5	10182.5
39	14	11	9753.0	9753.0
40	14	15	8914.1	10255.1
41	14	23	9849.6	9849.6
42	15	10	26883.4	27024.0
43	15	14	9014.1	10255.1
44	15	19	21253.1	29129.5
45	15	22	19198.4	19198.4
46	16	8	6108.2	10091.6
47	16	10	9709.8	9709.8
48	16	17	10459.8	10459.8
49	16	18	11439.0	39359.8
50	17	10	8699.4	9987.0
51	17	16	10459.8	10459.8
52	17	19	9647.9	9647.9
53	18	7	11563.6	46806.9
54	18	16	11556.5	39359.8
55	18	20	17015.7	46806.9
56	19	15	21253.1	29129.5
57	19	17	9647.9	9647.9
58	19	20	10005.2	10005.2
59	20	18	17115.7	46806.9
60	20	19	10005.2	10005.2
61	20	21	6112.4	10119.8
62	20	22	6947.2	10151.4
63	21	20	6081.5	10119.8
64	21	22	9657.7	10459.8
65	21	24	9770.7	9770.7
66	22	15	19198.4	19198.4
67	22	20	6978.1	10151.4
68	22	21	9626.8	10459.8
69	22	23	10000.0	10000.0
70	23	14	9749.6	9849.6
71	23	22	10000.0	10000.0
72	23	24	7543.3	10157.0
73	24	13	10182.5	10182.5
74	24	21	9770.7	9770.7
75	24	23	7443.3	10157.0
