iter_num	obj	reduced_cost
0	5391170.61	3927700.00
1	4813723.19	2688541.67
2	4512437.63	2426977.43
3	4362250.65	2145050.81
4	4326511.83	2196047.72
5	4267684.68	1871480.77
6	4195083.26	2558257.88
7	4147624.87	1954381.27
8	4131241.83	1577137.70
9	4099495.10	1918635.95
10	4076547.46	1908473.91
11	4054236.84	1728276.99
12	4043979.38	1522886.73
13	4017791.26	1505517.15
14	3997300.76	1534571.12
15	3972773.25	1273063.71
16	3958980.95	1185625.33
17	3918280.50	1624014.45
18	3894969.70	1603396.62
19	3880555.72	1239334.81
20	3875080.42	1145487.92
21	3862544.93	951371.54
22	3857402.64	1140133.90
23	3847508.95	1015196.48
24	3843921.89	818838.14
25	3832309.60	900182.36
26	3825835.69	772214.82
27	3801826.03	823493.48
28	3786897.27	1055830.59
29	3775411.76	1082700.18
30	3769071.66	777381.42
31	3759066.44	926782.08
32	3745795.41	956897.85
33	3734889.10	602518.39
34	3732861.08	716624.00
35	3729209.18	782591.20
36	3726789.71	690686.99
37	3712971.92	534240.95
38	3699667.26	700545.55
39	3696815.42	606061.12
40	3691428.33	542633.43
41	3683489.66	402495.60
42	3661252.93	764842.04
43	3647707.31	510556.35
44	3634487.02	535079.74
45	3629135.43	491153.71
46	3624450.65	518488.65
47	3611800.05	783031.14
48	3604372.57	398265.41
49	3600986.85	487869.56
50	3583956.35	780456.31
51	3581197.12	370569.68
52	3577862.04	473878.50
53	3576309.04	496189.63
54	3572588.56	422258.36
55	3570471.90	397852.89
56	3569035.07	342121.21
57	3568716.12	252790.37
58	3568355.35	388076.82
59	3564788.56	495883.72
60	3562486.71	418604.23
61	3557978.42	331955.39
62	3555244.44	347824.92
63	3553257.46	428081.43
64	3551786.67	330614.42
65	3548599.63	400827.90
66	3546814.42	313965.46
67	3543813.27	279883.80
68	3540570.13	275089.54
69	3538852.81	245661.47
70	3535424.73	350163.22
71	3531015.70	270488.85
72	3527593.07	263254.99
73	3526697.92	203506.75
74	3525589.10	201640.76
75	3524871.52	232160.67
76	3523777.63	222579.33
77	3522591.10	226704.69
78	3521797.05	147669.07
79	3518966.79	234720.22
80	3517255.11	186030.81
81	3514834.29	185466.74
82	3509087.36	192774.48
83	3505165.92	239272.08
84	3503905.94	192442.81
85	3503418.54	170998.01
86	3502630.43	211524.11
87	3501507.57	197174.35
88	3499855.16	174479.92
89	3499075.57	121573.24
90	3495581.63	169559.17
91	3491112.85	141831.68
92	3488048.85	240570.95
93	3486369.21	118796.52
94	3485558.93	127276.51
95	3484851.73	122581.88
96	3483593.49	133674.87
97	3482548.11	135024.90
98	3481951.25	114860.22
99	3481286.74	137711.33
100	3480158.73	102672.60
101	3479994.48	120104.53
102	3479695.04	118608.80
103	3479232.73	102198.68
104	3478617.85	73494.27
105	3477766.68	131465.22
106	3476582.62	136532.47
107	3474826.87	103757.32
108	3474707.15	78968.02
109	3472374.02	119384.53
110	3470270.72	103788.38
111	3469946.31	84393.18
112	3468004.29	81193.41
113	3466903.59	93933.62
114	3466102.57	82916.27
115	3465432.91	73290.78
116	3464321.09	98127.71
117	3463187.10	102524.62
118	3462888.53	66545.54
119	3462733.37	59839.94
120	3462722.91	48225.03
121	3462447.19	52007.32
122	3462140.25	62549.31
123	3461971.71	62700.09
124	3461928.09	62353.45
125	3460987.53	65789.50
126	3459947.10	68485.51
127	3458888.99	66648.54
128	3458515.12	81971.40
129	3457795.45	54606.97
130	3457718.64	66926.02
131	3457583.39	59701.06
132	3457407.99	63646.80
133	3457361.98	51501.28
134	3457229.77	42494.26
135	3456593.38	68002.25
136	3456382.59	53666.21
137	3456082.14	42753.12
138	3455413.96	47638.11
139	3455015.75	59678.73
140	3454798.43	35297.96
141	3454218.42	49972.84
142	3454108.21	48554.52
143	3453672.67	45620.73
144	3453330.25	46978.43
