id	ratio	route
1	1.000000	1->2->
2	1.000000	1->3->
3	1.000000	1->3->4->
4	1.000000	1->3->4->5->
5	1.000000	1->2->6->
6	1.000000	1->2->6->8->7->
7	1.000000	1->2->6->8->
8	1.000000	1->3->4->5->9->
9	1.000000	1->3->4->5->9->10->
10	1.000000	1->3->4->11->
11	1.000000	1->3->12->
12	1.000000	1->3->12->13->
13	1.000000	1->3->4->11->14->
14	1.000000	1->3->4->5->9->10->15->
15	1.000000	1->2->6->8->16->
16	1.000000	1->3->4->5->9->10->17->
17	1.000000	1->2->6->8->7->18->
18	1.000000	1->3->4->5->9->10->15->19->
19	1.000000	1->2->6->8->7->18->20->
20	1.000000	1->3->12->13->24->21->
21	0.999668	1->3->4->5->9->10->15->22->
21	0.000332	1->3->12->13->24->23->22->
22	1.000000	1->3->12->13->24->23->
23	1.000000	1->3->12->13->24->
24	1.000000	2->1->
26	1.000000	2->1->3->
27	1.000000	2->6->5->4->
28	1.000000	2->6->5->
29	1.000000	2->6->
30	1.000000	2->6->8->7->
31	1.000000	2->6->8->
32	1.000000	2->6->5->9->
33	1.000000	2->6->5->9->10->
34	1.000000	2->6->5->4->11->
35	1.000000	2->1->3->12->
36	1.000000	2->1->3->12->13->
37	1.000000	2->6->5->4->11->14->
38	1.000000	2->6->5->9->10->15->
39	1.000000	2->6->8->16->
40	0.143703	2->6->8->16->17->
40	0.856297	2->6->5->9->10->17->
42	1.000000	2->6->5->9->10->15->19->
43	1.000000	2->6->8->7->18->20->
45	1.000000	2->6->5->9->10->15->22->
48	1.000000	3->1->
49	1.000000	3->1->2->
51	1.000000	3->4->
52	1.000000	3->4->5->
53	1.000000	3->4->5->6->
54	0.809469	3->4->5->6->8->7->
54	0.190531	3->4->5->9->8->7->
55	0.809469	3->4->5->6->8->
55	0.190531	3->4->5->9->8->
56	1.000000	3->4->5->9->
57	1.000000	3->4->5->9->10->
58	1.000000	3->4->11->
59	1.000000	3->12->
60	1.000000	3->12->13->
61	1.000000	3->4->11->14->
62	1.000000	3->4->5->9->10->15->
63	0.752941	3->4->5->9->10->16->
63	0.219492	3->4->5->6->8->16->
63	0.027567	3->4->5->9->8->16->
64	1.000000	3->4->5->9->10->17->
69	0.999668	3->4->5->9->10->15->22->
69	0.000332	3->12->13->24->23->22->
70	1.000000	3->12->13->24->23->
72	1.000000	4->3->1->
73	1.000000	4->5->6->2->
74	1.000000	4->3->
76	1.000000	4->5->
77	1.000000	4->5->6->
78	0.809469	4->5->6->8->7->
78	0.190531	4->5->9->8->7->
79	0.809469	4->5->6->8->
79	0.190531	4->5->9->8->
80	1.000000	4->5->9->
81	1.000000	4->5->9->10->
82	1.000000	4->11->
83	1.000000	4->3->12->
84	1.000000	4->3->12->13->
85	1.000000	4->11->14->
86	1.000000	4->5->9->10->15->
87	0.752941	4->5->9->10->16->
87	0.219492	4->5->6->8->16->
87	0.027567	4->5->9->8->16->
88	1.000000	4->5->9->10->17->
89	0.809469	4->5->6->8->7->18->
89	0.190531	4->5->9->8->7->18->
90	1.000000	4->5->9->10->15->19->
91	0.371308	4->5->6->8->7->18->20->
91	0.608233	4->5->9->10->15->19->20->
91	0.020459	4->5->9->8->7->18->20->
92	1.000000	4->5->9->10->15->22->21->
