var_name	value
s[0]	48700.401280
s[1]	40106.946380
s[2]	48700.401280
s[3]	4016.361856
s[4]	40106.946380
s[5]	22021.213204
s[6]	39706.780616
s[7]	22021.213204
s[8]	17665.753964
s[9]	4317.653460
s[10]	17665.753964
s[12]	2697.341056
s[13]	4016.361856
s[16]	3220.042367
s[17]	35325.900379
s[19]	3302.576619
s[20]	2219.543752
s[21]	4100.888423
s[22]	2697.341056
s[23]	2419.543752
s[24]	3.545348
s[25]	103.545348
s[26]	784.640429
s[27]	140.577979
s[29]	1287.613565
s[30]	4217.653460
s[31]	984.640429
s[34]	39706.780616
s[36]	40586.948493
s[37]	40486.948493
s[40]	1340.961173
s[42]	140.577979
s[43]	1240.961173
s[44]	7876.389512
s[46]	3983.422675
s[49]	27920.794393
s[50]	1287.613565
s[53]	35243.366127
s[54]	27803.328645
s[55]	29791.267789
s[56]	7876.389512
s[59]	29691.267789
s[61]	4007.441881
s[62]	3204.155082
s[63]	4038.346940
s[64]	802.126122
s[67]	3173.250023
s[68]	833.031181
s[70]	100.000000
s[72]	2613.676312
s[75]	2713.676312
lam[270]	0.000117
lam[271]	0.000838
lam[274]	0.007450
lam[276]	0.006382
lam[278]	0.036218
lam[282]	0.033961
lam[287]	0.142747
lam[289]	0.107368
lam[290]	0.011033
lam[291]	0.027567
lam[292]	0.006524
lam[293]	0.098302
lam[295]	0.126609
lam[296]	0.057844
lam[304]	0.022819
lam[305]	0.012595
lam[309]	0.026242
lam[310]	0.047344
lam[313]	0.139650
lam[314]	0.000332
lam[315]	0.002570
lam[316]	0.000332
lam[317]	0.002523
lam[320]	0.057551
lam[321]	0.025079
